"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_APOPTOSIS","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_TNFA_SIGNALING_VIA_NFKB","cGAS_STING_and_HALLMARK_IL6_JAK_STAT3_SIGNALING"
"AARS1","ADD1","ABCB1","ABCA1","ABCB1","ABCA1","CGAS"
"ABCE1","AIFM3","ADAM19","ABI1","ACE","ACKR3","STING1"
"ABI1","ANKH","AGER","ACVR1B","ADAM17","AREG","TBK1"
"ACHE","ANXA1","AHCY","ACVR2A","ADAM8","ATF3","IRF3"
"ACVR2A","APP","AHNAK","ADGRE1","ADAMDEC1","ATP2B1","IFNA1"
"AKT1","ATF3","AHR","ADM","ADGRA2","B4GALT1","IFNB1"
"APBB1","AVPR1A","ALCAM","ADORA2B","ADGRL4","B4GALT5","NFKB1"
"B2M","BAX","AMACR","ADRM1","AKAP12","BCL2A1","IL6"
"BCAT1","BCAP31","ANXA4","AHR","AKT2","BCL3","TNF"
"BCL10","BCL10","APLP1","APLNR","ALDH1A2","BCL6","A2M"
"BCL3","BCL2L1","ARL4A","AQP9","ALDH1A3","BHLHE40","ACVR1B"
"BRCA1","BCL2L10","BATF","ATP2A2","AMMECR1","BIRC2","ACVRL1"
"C2","BCL2L11","BATF3","ATP2B1","ANGPTL4","BIRC3","BAK1"
"CAPG","BCL2L2","BCL2","ATP2C1","ANKH","BMP2","CBL"
"CARTPT","BGN","BCL2L1","AXL","ANO1","BTG1","CCL7"
"CCL11","BID","BHLHE40","BDKRB1","ANXA10","BTG2","CCR1"
"CCL13","BIK","BMP2","BEST1","APOD","BTG3","CD14"
"CCL19","BIRC3","BMPR2","BST2","ARG1","CCL2","CD36"
"CCL2","BMF","CA2","BTG2","ATG10","CCL20","CD38"
"CCL22","BMP2","CAPG","C3AR1","AVL9","CCL4","CD44"
"CCL4","BNIP3L","CAPN3","C5AR1","BIRC3","CCL5","CD9"
"CCL5","BRCA1","CASP3","CALCRL","BMP2","CCN1","CNTFR"
"CCL7","BTG2","CCND2","CCL17","BPGM","CCND1","CRLF2"
"CCND2","BTG3","CCND3","CCL2","BTBD3","CCNL1","CSF1"
"CCND3","CASP1","CCNE1","CCL20","BTC","CCRL2","CSF2"
"CCR1","CASP2","CCR4","CCL22","C3AR1","CD44","CSF2RA"
"CCR2","CASP3","CD44","CCL24","CA2","CD69","CSF2RB"
"CCR5","CASP4","CD48","CCL5","CAB39L","CD80","CSF3R"
"CD1D","CASP6","CD79B","CCL7","CBL","CD83","CXCL1"
"CD2","CASP7","CD81","CCR7","CBR4","CDKN1A","CXCL10"
"CD247","CASP8","CD83","CCRL2","CBX8","CEBPB","CXCL11"
"CD28","CASP9","CD86","CD14","CCL20","CEBPD","CXCL13"
"CD3D","CAV1","CDC42SE2","CD40","CCND2","CFLAR","CXCL3"
"CD3E","CCNA1","CDC6","CD48","CCSER2","CLCF1","CXCL9"
"CD3G","CCND1","CDCP1","CD55","CD37","CSF1","DNTT"
"CD4","CCND2","CDKN1C","CD69","CDADC1","CSF2","EBI3"
"CD40","CD14","CISH","CD70","CFB","CXCL1","FAS"
"CD40LG","CD2","CKAP4","CD82","CFH","CXCL10","GRB2"
"CD47","CD38","COCH","CDKN1A","CFHR2","CXCL11","HAX1"
"CD7","CD44","COL6A1","CHST2","CIDEA","CXCL2","HMOX1"
"CD74","CD69","CSF1","CLEC5A","CLEC4A","CXCL3","IFNAR1"
"CD79A","CDC25B","CSF2","CMKLR1","CMKLR1","CXCL6","IFNGR1"
"CD80","CDK2","CST7","CSF1","CPE","DENND5A","IFNGR2"
"CD86","CDKN1A","CTLA4","CSF3","CROT","DNAJB4","IL10RB"
"CD8A","CDKN1B","CTSZ","CSF3R","CSF2","DRAM1","IL12RB1"
"CD8B","CFLAR","CXCL10","CX3CL1","CSF2RA","DUSP1","IL13RA1"
"CD96","CLU","CYFIP1","CXCL10","CTSS","DUSP2","IL15RA"
"CDKN2A","CREBBP","DCPS","CXCL11","CXCL10","DUSP4","IL17RA"
"CFP","CTH","DENND5A","CXCL6","CXCR4","DUSP5","IL17RB"
"CRTAM","CTNNB1","DHRS3","CXCL8","DCBLD2","EDN1","IL18R1"
"CSF1","CYLD","DRC1","CXCL9","DNMBP","EFNA1","IL1B"
"CSK","DAP","ECM1","CXCR6","DOCK2","EGR1","IL1R1"
"CTSS","DAP3","EEF1AKMT1","CYBB","DUSP6","EGR2","IL1R2"
"CXCL13","DCN","EMP1","DCBLD2","EMP1","EGR3","IL2RA"
"CXCL9","DDIT3","ENO3","EBI3","ENG","EHD1","IL2RG"
"CXCR3","DFFA","ENPP1","EDN1","EPB41L3","EIF1","IL3RA"
"DARS1","DIABLO","EOMES","EIF2AK2","EPHB2","ETS2","IL4R"
"DEGS1","DNAJA1","ETFBKMT","EMP3","EREG","F2RL1","IL6"
"DYRK3","DNAJC3","ETV4","EREG","ERO1A","F3","IL6ST"
"EGFR","DNM1L","F2RL2","F3","ETS1","FJX1","IL7"
"EIF3A","DPYD","FAH","FFAR2","ETV1","FOS","IL9R"
"EIF3D","EBP","FGL2","FPR1","ETV4","FOSB","INHBE"
"EIF3J","EGR3","FLT3LG","FZD5","ETV5","FOSL1","IRF1"
"EIF4G3","EMP1","FURIN","GABBR1","EVI5","FOSL2","IRF9"
"EIF5A","ENO2","GABARAPL1","GCH1","F13A1","FUT4","ITGA4"
"ELANE","ERBB2","GADD45B","GNA15","F2RL1","G0S2","ITGB3"
"ELF4","ERBB3","GALM","GNAI3","FBXO4","GADD45A","JUN"
"EREG","EREG","GATA1","GP1BA","FCER1G","GADD45B","LEPR"
"ETS1","ETF1","GBP4","GPC3","FGF9","GCH1","LTB"
"F2","F2","GLIPR2","GPR132","FLT4","GEM","LTBR"
